2018-07-27 10:01:42 status unpacked perl-base:armhf 5.24.1-3+deb9u4
2018-07-27 10:01:42 status unpacked perl-base:armhf 5.24.1-3+deb9u4
2018-07-27 10:01:42 install sed:armhf <none> 4.4-1
2018-07-27 10:01:42 status half-installed sed:armhf 4.4-1
2018-07-27 10:01:43 status unpacked sed:armhf 4.4-1
2018-07-27 10:01:43 status unpacked sed:armhf 4.4-1
2018-07-27 10:01:43 install sensible-utils:all <none> 0.0.9+deb9u1
2018-07-27 10:01:43 status half-installed sensible-utils:all 0.0.9+deb9u1
2018-07-27 10:01:43 status unpacked sensible-utils:all 0.0.9+deb9u1
2018-07-27 10:01:43 status unpacked sensible-utils:all 0.0.9+deb9u1
2018-07-27 10:01:43 install login:armhf <none> 1:4.4-4.1
2018-07-27 10:01:43 status half-installed login:armhf 1:4.4-4.1
2018-07-27 10:01:45 status unpacked login:armhf 1:4.4-4.1
2018-07-27 10:01:45 status unpacked login:armhf 1:4.4-4.1
2018-07-27 10:01:45 install passwd:armhf <none> 1:4.4-4.1
2018-07-27 10:01:45 status half-installed passwd:armhf 1:4.4-4.1
2018-07-27 10:01:47 status unpacked passwd:armhf 1:4.4-4.1
2018-07-27 10:01:47 status unpacked passwd:armhf 1:4.4-4.1
2018-07-27 10:01:47 install libsystemd0:armhf <none> 232-25+deb9u4
2018-07-27 10:01:47 status half-installed libsystemd0:armhf 232-25+deb9u4
2018-07-27 10:01:47 status unpacked libsystemd0:armhf 232-25+deb9u4
2018-07-27 10:01:47 status unpacked libsystemd0:armhf 232-25+deb9u4
2018-07-27 10:01:48 install libudev1:armhf <none> 232-25+deb9u4
2018-07-27 10:01:48 status half-installed libudev1:armhf 232-25+deb9u4
2018-07-27 10:01:48 status unpacked libudev1:armhf 232-25+deb9u4
2018-07-27 10:01:48 status unpacked libudev1:armhf 232-25+deb9u4
2018-07-27 10:01:48 install sysvinit-utils:armhf <none> 2.88dsf-59.9
2018-07-27 10:01:48 status half-installed sysvinit-utils:armhf 2.88dsf-59.9
